accession,file_accession,file_type,file_format,file_size,output_category,output_type,target,investigated_as,nucleic_acid_term,assay,treatment_id,treatment,treatment_amount,treatment_amount_unit,treatment_duration,treatment_duration_unit,treatment_temperature,treatment_temperature_unit,treatment_notes,biosample_id,biosample_type,biosample_name,dataset_biosample_summary,dataset_description,replicate_libraries,replicate_antibody,antibody_target,antibody_characterization,antibody_caption,organism,dataset_type,assembly,status,controls,controlled_by,lab,run_type,read_length,paired_end,paired_with,platform,href,biological_replicates,biological_replicate_number,technical_replicate_number,replicate_list,technical_replicates,project,dataset,dbxrefs,superseded_by,file_status,submitted_by,library,derived_from,file_format_type,file_format_specifications,genome_annotation,external_accession,date_released,biosample_ontology,md5sum
ENCSR000DZS,ENCFF001VDX,bed narrowPeak,bed,275.3 Kb,annotation,peaks,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,NA,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,"Michael Snyder, Stanford",NA,NA,NA,NA,NA,/files/ENCFF001VDX/@@download/ENCFF001VDX.bed.gz,NA,NA,NA,NA,NA,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Trupti Kawli,NA,NA,narrowPeak,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,67e3bdb471751bbd4a1de94f79a27f04
ENCSR000DZS,ENCFF302CKV,bigBed narrowPeak,bigBed,76.2 Kb,annotation,optimal idr thresholded peaks,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,NA,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Consortium,NA,NA,NA,NA,NA,/files/ENCFF302CKV/@@download/ENCFF302CKV.bigBed,NA,NA,NA,NA,NA,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Esther Chan,NA,/files/ENCFF002COL/,narrowPeak,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,c00f33dcaf6798476223c97eadb02482
ENCSR000DZS,ENCFF002COL,bed narrowPeak,bed,13.8 Kb,annotation,optimal idr thresholded peaks,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,NA,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Consortium Analysis Working Group,NA,NA,NA,NA,NA,/files/ENCFF002COL/@@download/ENCFF002COL.bed.gz,NA,NA,NA,NA,NA,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Anshul Kundaje,NA,NA,narrowPeak,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,9244c35a76113602e7ca61ee915f9e18
ENCSR000DZS,ENCFF000VTI,fastq,fastq,907.9 Mb,raw data,reads,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,ENCAB125OWA,BRCA1-human,/antibody-characterizations/1e0757d9-c00c-4b09-a922-4e30cd538320/; /antibody-characterizations/a3f015b7-70e8-42c8-8b6b-f3d673137103/; /antibody-characterizations/9e3e854c-1e5e-4f61-b4fb-756c9033ca57/; /antibody-characterizations/ecf7e805-aea8-4ded-981a-546c8ca330fc/; /antibody-characterizations/3bd6a070-0186-448f-a698-875827ec9151/; /antibody-characterizations/a281752c-181d-4172-bc35-5dcaa8a783b6/; /antibody-characterizations/2715ae0b-ffa6-4c6e-b11d-6a7e81bb148e/; /antibody-characterizations/18b68fd3-fc88-44c2-bda3-46d5899b7d41/,NA,Homo sapiens,experiments,NA,released,ENCSR000EAF,ENCFF000VWK,"Michael Snyder, Stanford",single-ended,36,NA,NA,Illumina Genome Analyzer,/files/ENCFF000VTI/@@download/ENCFF000VTI.fastq.gz,2,2,1,6aab809a-8e90-452e-8eda-43633e3a3b7c,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Trupti Kawli,/libraries/ENCLB209AUZ/,NA,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,aa8a80cc516379b7856058ec0a2d4867
ENCSR000DZS,ENCFF000VSJ,bam,bam,367.7 Mb,alignment,alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,"Michael Snyder, Stanford",NA,NA,NA,NA,NA,/files/ENCFF000VSJ/@@download/ENCFF000VSJ.bam,1,NA,NA,NA,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Trupti Kawli,NA,/files/ENCFF000VSY/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,6595b15c5349209aedbd5a59a7380e6b
ENCSR000DZS,ENCFF000VSN,bigWig,bigWig,340.8 Mb,signal,signal,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,NA,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,"Michael Snyder, Stanford",NA,NA,NA,NA,NA,/files/ENCFF000VSN/@@download/ENCFF000VSN.bigWig,NA,NA,NA,NA,NA,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Trupti Kawli,NA,NA,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,73005ece3ae813304f66c029cf64c865
ENCSR000DZS,ENCFF000VSY,fastq,fastq,659.7 Mb,raw data,reads,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209ASQ,ENCAB125OWA,BRCA1-human,/antibody-characterizations/1e0757d9-c00c-4b09-a922-4e30cd538320/; /antibody-characterizations/a3f015b7-70e8-42c8-8b6b-f3d673137103/; /antibody-characterizations/9e3e854c-1e5e-4f61-b4fb-756c9033ca57/; /antibody-characterizations/ecf7e805-aea8-4ded-981a-546c8ca330fc/; /antibody-characterizations/3bd6a070-0186-448f-a698-875827ec9151/; /antibody-characterizations/a281752c-181d-4172-bc35-5dcaa8a783b6/; /antibody-characterizations/2715ae0b-ffa6-4c6e-b11d-6a7e81bb148e/; /antibody-characterizations/18b68fd3-fc88-44c2-bda3-46d5899b7d41/,NA,Homo sapiens,experiments,NA,released,ENCSR000EAF,ENCFF000VWD,"Michael Snyder, Stanford",single-ended,36,NA,NA,Illumina Genome Analyzer,/files/ENCFF000VSY/@@download/ENCFF000VSY.fastq.gz,1,1,1,bde27c54-fc5f-4d5e-8f77-5bb96e489ca5,1_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Trupti Kawli,/libraries/ENCLB209ASQ/,NA,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,20fd11b8f14e303eb4161dba283220e4
ENCSR000DZS,ENCFF000VSK,bam,bam,484.8 Mb,alignment,alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,"Michael Snyder, Stanford",NA,NA,NA,NA,NA,/files/ENCFF000VSK/@@download/ENCFF000VSK.bam,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Trupti Kawli,NA,/files/ENCFF000VTI/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,bc24d61ca296af463d3b62c2643607d5
ENCSR000DZS,ENCFF000VSL,bigBed narrowPeak,bigBed,596.5 Kb,annotation,peaks,BRCA1,transcription factor,NA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,NA,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,"Michael Snyder, Stanford",NA,NA,NA,NA,NA,/files/ENCFF000VSL/@@download/ENCFF000VSL.bigBed,NA,NA,NA,NA,NA,ENCODE,/experiments/ENCSR000DZS/,NA,NA,archived,Trupti Kawli,NA,/files/ENCFF001VDX/,narrowPeak,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,1dbb5cd9707f9a3b08f2bc8a6232ac53
ENCSR000DZS,ENCFF042ZNZ,bam,bam,613.2 Mb,alignment,alignments,BRCA1,transcription factor,DNA,ChIP-seq,NA,NA,NA,NA,NA,NA,NA,NA,NA,/biosamples/ENCBS630AAA/,cell line,GM12878,GM12878,BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab,ENCLB209AUZ,NA,NA,NA,NA,Homo sapiens,experiments,hg19,released,ENCSR000EAF,NA,ENCODE Processing Pipeline,NA,NA,NA,NA,NA,/files/ENCFF042ZNZ/@@download/ENCFF042ZNZ.bam,2,NA,NA,NA,2_1,ENCODE,/experiments/ENCSR000DZS/,NA,NA,released,Cricket Sloan,NA,/files/ENCFF807MUK/; /files/ENCFF000VTI/,NA,NA,NA,NA,2011-10-29,/biosample-types/cell_line_EFO_0002784/,a4e599b819cc5b96002ec94d76e5ba05
